n,config,threads,time
10000000,serial,1,1.248488
10000000,pthread,2,1.242482
10000000,omp_static,2,1.282038
10000000,omp_dynamic,2,0.690307
10000000,pthread,4,0.641465
10000000,omp_static,4,0.661977
10000000,omp_dynamic,4,0.402092
10000000,pthread,8,0.350422
10000000,omp_static,8,0.402469
10000000,omp_dynamic,8,0.421805
15000000,serial,1,2.246037
15000000,pthread,2,2.299824
15000000,omp_static,2,2.409000
15000000,omp_dynamic,2,1.277111
15000000,pthread,4,1.257023
15000000,omp_static,4,1.199136
15000000,omp_dynamic,4,0.691802
15000000,pthread,8,0.623502
15000000,omp_static,8,0.645150
15000000,omp_dynamic,8,0.638480
20000000,serial,1,3.289864
20000000,pthread,2,3.452605
20000000,omp_static,2,3.462178
20000000,omp_dynamic,2,1.873072
20000000,pthread,4,1.716638
20000000,omp_static,4,1.859771
20000000,omp_dynamic,4,1.043443
20000000,pthread,8,0.939948
20000000,omp_static,8,1.000895
20000000,omp_dynamic,8,0.917084
25000000,serial,1,4.548135
25000000,pthread,2,4.666644
25000000,omp_static,2,4.940998
25000000,omp_dynamic,2,2.562390
25000000,pthread,4,2.340117
25000000,omp_static,4,2.557286
25000000,omp_dynamic,4,1.572678
25000000,pthread,8,1.379052
25000000,omp_static,8,1.363848
25000000,omp_dynamic,8,1.201719
30000000,serial,1,6.002933
30000000,pthread,2,5.970705
30000000,omp_static,2,6.274958
30000000,omp_dynamic,2,3.159996
30000000,pthread,4,3.100506
30000000,omp_static,4,3.213854
30000000,omp_dynamic,4,1.771262
30000000,pthread,8,1.756553
30000000,omp_static,8,1.730227
30000000,omp_dynamic,8,1.467303
35000000,serial,1,7.212693
35000000,pthread,2,7.287391
35000000,omp_static,2,7.430790
35000000,omp_dynamic,2,3.895392
35000000,pthread,4,3.733642
35000000,omp_static,4,3.838013
35000000,omp_dynamic,4,2.183596
35000000,pthread,8,2.048600
35000000,omp_static,8,2.102798
35000000,omp_dynamic,8,1.792540
40000000,serial,1,8.654705
40000000,pthread,2,8.814499
40000000,omp_static,2,8.971348
40000000,omp_dynamic,2,4.718894
40000000,pthread,4,4.513068
40000000,omp_static,4,4.600397
40000000,omp_dynamic,4,2.648511
40000000,pthread,8,2.519207
40000000,omp_static,8,2.687659
40000000,omp_dynamic,8,2.368701
45000000,serial,1,10.352273
45000000,pthread,2,10.436067
45000000,omp_static,2,10.938095
45000000,omp_dynamic,2,5.747066
45000000,pthread,4,5.530876
45000000,omp_static,4,5.495864
45000000,omp_dynamic,4,3.189566
45000000,pthread,8,2.956901
45000000,omp_static,8,3.073307
45000000,omp_dynamic,8,2.488785
50000000,serial,1,12.086581
50000000,pthread,2,12.107170
50000000,omp_static,2,12.342683
50000000,omp_dynamic,2,6.456386
50000000,pthread,4,6.206072
50000000,omp_static,4,6.344155
50000000,omp_dynamic,4,3.577783
50000000,pthread,8,3.418947
50000000,omp_static,8,3.471351
50000000,omp_dynamic,8,2.813331
