timestamp,jobid,n,strategy,processes,computation_time,total_time,primes_found
2026-09-17T01:41:11Z,135446,100000000,weighted,8,7.378506,7.995710,5761455
2026-09-17T01:41:18Z,135447,90000000,weighted,8,6.359880,6.899908,5216954
2026-09-17T01:41:20Z,135444,90000000,weighted,4,12.256015,12.705785,5216954
2026-09-17T01:41:22Z,135442,90000000,weighted,4,12.255290,13.248329,5216954
2026-09-17T01:41:22Z,135443,90000000,weighted,4,12.249346,12.819355,5216954
2026-09-17T01:41:27Z,135447,92500000,weighted,8,6.614668,7.175552,5353469
2026-09-17T01:41:34Z,135444,92500000,weighted,4,12.739415,13.211403,5353469
2026-09-17T01:41:35Z,135447,95000000,weighted,8,6.853911,7.493327,5489749
2026-09-17T01:41:36Z,135442,92500000,weighted,4,12.750002,13.375889,5353469
2026-09-17T01:41:36Z,135443,92500000,weighted,4,12.743891,13.324768,5353469
2026-09-17T01:41:44Z,135447,97500000,weighted,8,7.112198,7.714639,5625732
2026-09-17T01:41:48Z,135444,95000000,weighted,4,13.227860,13.686469,5489749
2026-09-17T01:41:50Z,135442,95000000,weighted,4,13.225850,13.764677,5489749
2026-09-17T01:41:51Z,135443,95000000,weighted,4,13.228967,13.863189,5489749
2026-09-17T01:41:52Z,135447,100000000,weighted,8,7.374059,7.943253,5761455
2026-09-17T01:42:03Z,135444,97500000,weighted,4,13.747396,14.231624,5625732
2026-09-17T01:42:05Z,135442,97500000,weighted,4,13.730425,14.268554,5625732
2026-09-17T01:42:06Z,135443,97500000,weighted,4,13.732268,14.420582,5625732
2026-09-17T01:42:18Z,135444,100000000,weighted,4,14.239417,14.719965,5761455
2026-09-17T01:42:20Z,135442,100000000,weighted,4,14.253109,14.803704,5761455
2026-09-17T01:42:21Z,135443,100000000,weighted,4,14.253180,14.860308,5761455
